,clicks,landing_page,site,store_view,traffic_source,uniuqe_clicks
54,7,/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,N/A,0
55,197,/,thesleepjudge.com,Default Store View,N/A,1
56,100,/,thesleepjudge.com,Default Store View,www.thesleepjudge.com,0
57,1,/our-products/cooling-pillows-cooling-pillow-covers.html,thesleepjudge.com,Default Store View,www.thesleepjudge.com,0
58,3,/nacreous-pillow-cover.html,thesleepjudge.com,Default Store View,www.thesleepjudge.com,0
59,8,/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,www.thesleepjudge.com,0
60,8,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,www.google.com,0
61,2,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,outlook.live.com,0
62,12810,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,N/A,40
63,2,/our-products/cooling-mattress-pads/cirriform-mattress-pad.html,thesleepjudge.com,Default Store View,www.slumbercloud.com,0
64,334,/our-products/cooling-mattress-pads/cirriform-mattress-pad.html,thesleepjudge.com,Default Store View,N/A,11
65,207,/our-products/cooling-mattress-pads/cirriform-mattress-pad.html,thesleepjudge.com,Default Store View,www.thesleepjudge.com,64
66,3113,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,www.thesleepjudge.com,899
